user_id,product_id,interaction_type,timestamp
691cd83e5fee2d4ca1ba6a46,10793,view,2025-10-29T19:44:17.071000
691cd8385fee2d4ca1ba6a3a,10405,purchase,2025-10-29T20:17:18.028000
691cd83b5fee2d4ca1ba6a3f,10054,purchase,2025-10-29T21:33:34.107000
691cd8435fee2d4ca1ba6a4e,10869,like,2025-10-29T22:16:50.738000
691cd8385fee2d4ca1ba6a3a,10721,view,2025-10-30T03:29:18.028000
691cd83c5fee2d4ca1ba6a42,10186,like,2025-10-30T07:19:50.943000
690c09fcf6b6910c9c5677a8,10144,view,2025-10-30T07:29:18.359000
691cd8385fee2d4ca1ba6a3a,10485,cart,2025-10-30T11:52:18.028000
691cd8425fee2d4ca1ba6a4d,10292,cart,2025-10-30T13:21:17.133000
690bf93fda9d3542e0185275,10633,cart,2025-10-30T13:35:16.745000
691cd8455fee2d4ca1ba6a52,10682,purchase,2025-10-30T17:39:49.107000
691cd83d5fee2d4ca1ba6a43,10308,view,2025-10-30T20:10:18.423000
691cd83d5fee2d4ca1ba6a44,10438,cart,2025-10-30T20:41:50.566000
690c07dbf6b6910c9c55de5a,10670,view,2025-10-30T22:33:17.380000
691cd83f5fee2d4ca1ba6a47,10102,cart,2025-10-31T04:58:17.643000
691cd8365fee2d4ca1ba6a36,10340,cart,2025-10-31T05:39:50.115000
691cd8365fee2d4ca1ba6a36,10189,purchase,2025-10-31T05:48:18.292000
691cd83e5fee2d4ca1ba6a45,10075,like,2025-10-31T06:37:49.436000
690c09d3f6b6910c9c566d7d,10062,view,2025-10-31T08:54:17.964000
691cd83d5fee2d4ca1ba6a44,10442,view,2025-10-31T10:00:50.566000
690bf940da9d3542e0185462,10275,purchase,2025-10-31T10:13:17.194000
691cd83c5fee2d4ca1ba6a41,10879,purchase,2025-10-31T10:49:50.025000
691cd8405fee2d4ca1ba6a4a,10731,view,2025-10-31T11:16:51.016000
691cd8415fee2d4ca1ba6a4b,10493,cart,2025-10-31T11:42:49.758000
691cd83f5fee2d4ca1ba6a48,10217,like,2025-10-31T13:19:17.447000
691cd83b5fee2d4ca1ba6a3f,10371,view,2025-10-31T17:31:40.107000
691cd83e5fee2d4ca1ba6a45,10726,like,2025-10-31T17:43:18.936000
691cd8435fee2d4ca1ba6a4f,10377,like,2025-10-31T19:52:16.946000
691cd83c5fee2d4ca1ba6a42,10263,cart,2025-10-31T22:52:19.107000
690c0907f6b6910c9c563b92,10476,cart,2025-11-01T03:01:19.439000
690bf940da9d3542e0185462,10504,view,2025-11-01T06:58:17.194000
691cd83d5fee2d4ca1ba6a44,10261,cart,2025-11-01T10:11:50.566000
690c0638f6b6910c9c5547e6,10162,cart,2025-11-01T10:20:49.564000
691cd83a5fee2d4ca1ba6a3d,10815,view,2025-11-01T13:28:17.257000
690c09fcf6b6910c9c5677a8,10013,purchase,2025-11-01T13:42:18.359000
691cd83c5fee2d4ca1ba6a42,10320,view,2025-11-01T16:51:19.122000
691cd8375fee2d4ca1ba6a38,10427,cart,2025-11-01T19:59:19.310000
691cd83d5fee2d4ca1ba6a43,10138,like,2025-11-01T22:06:50.471000
691cd8365fee2d4ca1ba6a35,10131,purchase,2025-11-02T01:30:16.883000
691cd83d5fee2d4ca1ba6a43,10345,like,2025-11-02T07:03:50.471000
691cd8445fee2d4ca1ba6a51,10694,purchase,2025-11-02T07:58:18.165000
691cd8425fee2d4ca1ba6a4d,10028,cart,2025-11-02T09:46:17.133000
691cd8425fee2d4ca1ba6a4c,10202,like,2025-11-02T12:15:19.376000
690c0844f6b6910c9c56030e,10776,like,2025-11-02T14:59:18.607000
691cd8425fee2d4ca1ba6a4d,10378,purchase,2025-11-02T15:18:17.133000
691cd83c5fee2d4ca1ba6a41,10658,purchase,2025-11-02T16:19:50.025000
691cd83e5fee2d4ca1ba6a46,10200,purchase,2025-11-02T18:25:17.071000
691cd8425fee2d4ca1ba6a4d,10151,cart,2025-11-02T23:58:17.133000
691cd8435fee2d4ca1ba6a4f,10397,view,2025-11-03T01:39:16.946000
691cd8395fee2d4ca1ba6a3b,10366,cart,2025-11-03T03:37:17.898000
691cd8405fee2d4ca1ba6a49,10408,view,2025-11-03T07:34:47.107000
